"Ukazatel,""Území"",""Roky"",""Druh dopravy"",""Hodnota"""
"Přepravené věci (tis. tun),""Česko"",""2010"",""Vnitrozemská vodní doprava"",""1642.321"""
"Přepravené věci (tis. tun),""Česko"",""2010"",""Letecká doprava"",""13.572"""
"Přepravené věci (tis. tun),""Česko"",""2010"",""Potrubní přeprava ropy"",""11204.74"""
"Přepravní výkon (mil. tkm),""Česko"",""2010"",""Nákladní doprava celkem"",""68494.992"""
"Přepravní výkon (mil. tkm),""Česko"",""2010"",""Železniční doprava"",""13770.362"""
"Přepravní výkon (mil. tkm),""Česko"",""2010"",""Silniční doprava"",""51832.083"""
"Přepravní výkon (mil. tkm),""Česko"",""2010"",""Vnitrozemská vodní doprava"",""679.471"""
"Přepravní výkon (mil. tkm),""Česko"",""2010"",""Letecká doprava"",""22.379"""
"Přepravní výkon (mil. tkm),""Česko"",""2010"",""Potrubní přeprava ropy"",""2190.697"""
"Přepravené věci (tis. tun),""Česko"",""2011"",""Nákladní doprava celkem"",""448684.594"""
"Přepravené věci (tis. tun),""Česko"",""2011"",""Železniční doprava"",""87096.31"""
"Přepravené věci (tis. tun),""Česko"",""2011"",""Silniční doprava"",""349278.061"""
"Přepravené věci (tis. tun),""Česko"",""2011"",""Vnitrozemská vodní doprava"",""1894.52"""
"Přepravené věci (tis. tun),""Česko"",""2011"",""Letecká doprava"",""11.845"""
"Přepravené věci (tis. tun),""Česko"",""2011"",""Potrubní přeprava ropy"",""10403.858"""
"Přepravní výkon (mil. tkm),""Česko"",""2011"",""Nákladní doprava celkem"",""71816.771"""
"Přepravní výkon (mil. tkm),""Česko"",""2011"",""Železniční doprava"",""14315.812"""
"Přepravní výkon (mil. tkm),""Česko"",""2011"",""Silniční doprava"",""54830.259"""
"Přepravní výkon (mil. tkm),""Česko"",""2011"",""Vnitrozemská vodní doprava"",""695.012"""
"Přepravní výkon (mil. tkm),""Česko"",""2011"",""Letecká doprava"",""21.966"""
"Přepravní výkon (mil. tkm),""Česko"",""2011"",""Potrubní přeprava ropy"",""1953.722"""
"Přepravené věci (tis. tun),""Česko"",""2012"",""Nákladní doprava celkem"",""435450.051"""
"Přepravené věci (tis. tun),""Česko"",""2012"",""Železniční doprava"",""82968.23"""
"Přepravené věci (tis. tun),""Česko"",""2012"",""Silniční doprava"",""339313.75"""
"Přepravené věci (tis. tun),""Česko"",""2012"",""Vnitrozemská vodní doprava"",""1766.81"""
"Přepravené věci (tis. tun),""Česko"",""2012"",""Letecká doprava"",""9.025"""
"Přepravené věci (tis. tun),""Česko"",""2012"",""Potrubní přeprava ropy"",""11392.236"""
"Přepravní výkon (mil. tkm),""Česko"",""2012"",""Nákladní doprava celkem"",""68087.058"""
"Přepravní výkon (mil. tkm),""Česko"",""2012"",""Železniční doprava"",""14266.23"""
"Přepravní výkon (mil. tkm),""Česko"",""2012"",""Silniční doprava"",""51227.694"""
"Přepravní výkon (mil. tkm),""Česko"",""2012"",""Vnitrozemská vodní doprava"",""669.355"""
"Přepravní výkon (mil. tkm),""Česko"",""2012"",""Letecká doprava"",""16.574"""
"Přepravní výkon (mil. tkm),""Česko"",""2012"",""Potrubní přeprava ropy"",""1907.205"""
"Přepravené věci (tis. tun),""Česko"",""2013"",""Nákladní doprava celkem"",""447367.709"""
"Přepravené věci (tis. tun),""Česko"",""2013"",""Železniční doprava"",""83956.904"""
"Přepravené věci (tis. tun),""Česko"",""2013"",""Silniční doprava"",""351517.361"""
"Přepravené věci (tis. tun),""Česko"",""2013"",""Vnitrozemská vodní doprava"",""1618.066"""
"Přepravené věci (tis. tun),""Česko"",""2013"",""Letecká doprava"",""8.923"""
"Přepravené věci (tis. tun),""Česko"",""2013"",""Potrubní přeprava ropy"",""10266.455"""
"Přepravní výkon (mil. tkm),""Česko"",""2013"",""Nákladní doprava celkem"",""71508.608"""
"Přepravní výkon (mil. tkm),""Česko"",""2013"",""Železniční doprava"",""13964.92"""
"Přepravní výkon (mil. tkm),""Česko"",""2013"",""Silniční doprava"",""54892.866"""
"Přepravní výkon (mil. tkm),""Česko"",""2013"",""Vnitrozemská vodní doprava"",""693.463"""
"Přepravní výkon (mil. tkm),""Česko"",""2013"",""Letecká doprava"",""24.324"""
"Přepravní výkon (mil. tkm),""Česko"",""2013"",""Potrubní přeprava ropy"",""1933.035"""
"Přepravené věci (tis. tun),""Česko"",""2014"",""Nákladní doprava celkem"",""491625.345"""
"Přepravené věci (tis. tun),""Česko"",""2014"",""Železniční doprava"",""91564.03"""
"Přepravené věci (tis. tun),""Česko"",""2014"",""Silniční doprava"",""386243.324"""
"Přepravené věci (tis. tun),""Česko"",""2014"",""Vnitrozemská vodní doprava"",""1779.846"""
"Přepravené věci (tis. tun),""Česko"",""2014"",""Letecká doprava"",""9.057"""
"Přepravené věci (tis. tun),""Česko"",""2014"",""Potrubní přeprava ropy"",""12029.088"""
"Přepravní výkon (mil. tkm),""Česko"",""2014"",""Nákladní doprava celkem"",""71420.803"""
"Přepravní výkon (mil. tkm),""Česko"",""2014"",""Železniční doprava"",""14574.65"""
"Přepravní výkon (mil. tkm),""Česko"",""2014"",""Silniční doprava"",""54092.107"""
"Přepravní výkon (mil. tkm),""Česko"",""2014"",""Vnitrozemská vodní doprava"",""656.47"""
"Přepravní výkon (mil. tkm),""Česko"",""2014"",""Letecká doprava"",""35.037"""
"Přepravní výkon (mil. tkm),""Česko"",""2014"",""Potrubní přeprava ropy"",""2062.539"""
"Přepravené věci (tis. tun),""Česko"",""2015"",""Nákladní doprava celkem"",""549085.539"""
"Přepravené věci (tis. tun),""Česko"",""2015"",""Železniční doprava"",""97280.327"""
"Přepravené věci (tis. tun),""Česko"",""2015"",""Silniční doprava"",""438906.243"""
"Přepravené věci (tis. tun),""Česko"",""2015"",""Vnitrozemská vodní doprava"",""1853.428"""
"Přepravené věci (tis. tun),""Česko"",""2015"",""Letecká doprava"",""5.79"""
"Přepravené věci (tis. tun),""Česko"",""2015"",""Potrubní přeprava ropy"",""11039.751"""
"Přepravní výkon (mil. tkm),""Česko"",""2015"",""Nákladní doprava celkem"",""76613.451"""
"Přepravní výkon (mil. tkm),""Česko"",""2015"",""Železniční doprava"",""15261.102"""
"Přepravní výkon (mil. tkm),""Česko"",""2015"",""Silniční doprava"",""58713.667"""
"Přepravní výkon (mil. tkm),""Česko"",""2015"",""Vnitrozemská vodní doprava"",""584.878"""
"Přepravní výkon (mil. tkm),""Česko"",""2015"",""Letecká doprava"",""31.082"""
"Přepravní výkon (mil. tkm),""Česko"",""2015"",""Potrubní přeprava ropy"",""2022.722"""
"Přepravené věci (tis. tun),""Česko"",""2016"",""Nákladní doprava celkem"",""539062.39"""
"Přepravené věci (tis. tun),""Česko"",""2016"",""Železniční doprava"",""98033.526"""
"Přepravené věci (tis. tun),""Česko"",""2016"",""Silniční doprava"",""431888.887"""
"Přepravené věci (tis. tun),""Česko"",""2016"",""Vnitrozemská vodní doprava"",""1778.805"""
"Přepravené věci (tis. tun),""Česko"",""2016"",""Letecká doprava"",""5.632"""
"Přepravené věci (tis. tun),""Česko"",""2016"",""Potrubní přeprava ropy"",""7355.54"""
"Přepravní výkon (mil. tkm),""Česko"",""2016"",""Nákladní doprava celkem"",""68172.316"""
"Přepravní výkon (mil. tkm),""Česko"",""2016"",""Železniční doprava"",""15618.69"""
"Přepravní výkon (mil. tkm),""Česko"",""2016"",""Silniční doprava"",""50314.701"""
"Přepravní výkon (mil. tkm),""Česko"",""2016"",""Vnitrozemská vodní doprava"",""620.394"""
"Přepravní výkon (mil. tkm),""Česko"",""2016"",""Letecká doprava"",""30.942"""
"Přepravní výkon (mil. tkm),""Česko"",""2016"",""Potrubní přeprava ropy"",""1587.589"""
"Přepravené věci (tis. tun),""Česko"",""2017"",""Nákladní doprava celkem"",""570975.859"""
"Přepravené věci (tis. tun),""Česko"",""2017"",""Železniční doprava"",""96516.378"""
"Přepravené věci (tis. tun),""Česko"",""2017"",""Silniční doprava"",""459432.556"""
"Přepravené věci (tis. tun),""Česko"",""2017"",""Vnitrozemská vodní doprava"",""1567.672"""
"Přepravené věci (tis. tun),""Česko"",""2017"",""Letecká doprava"",""6.362"""
"Přepravené věci (tis. tun),""Česko"",""2017"",""Potrubní přeprava ropy"",""13452.891"""
"Přepravní výkon (mil. tkm),""Česko"",""2017"",""Nákladní doprava celkem"",""62935.771"""
"Přepravní výkon (mil. tkm),""Česko"",""2017"",""Železniční doprava"",""15842.778"""
"Přepravní výkon (mil. tkm),""Česko"",""2017"",""Silniční doprava"",""44273.668"""
"Přepravní výkon (mil. tkm),""Česko"",""2017"",""Vnitrozemská vodní doprava"",""622.679"""
"Přepravní výkon (mil. tkm),""Česko"",""2017"",""Letecká doprava"",""31.989"""
"Přepravní výkon (mil. tkm),""Česko"",""2017"",""Potrubní přeprava ropy"",""2164.657"""
"Přepravené věci (tis. tun),""Česko"",""2018"",""Nákladní doprava celkem"",""593760.958"""
"Přepravené věci (tis. tun),""Česko"",""2018"",""Železniční doprava"",""99306.722"""
"Přepravené věci (tis. tun),""Česko"",""2018"",""Silniční doprava"",""479235.39"""
"Přepravené věci (tis. tun),""Česko"",""2018"",""Vnitrozemská vodní doprava"",""1374.3"""
"Přepravené věci (tis. tun),""Česko"",""2018"",""Letecká doprava"",""5.474"""
"Přepravené věci (tis. tun),""Česko"",""2018"",""Potrubní přeprava ropy"",""13839.072"""
"Přepravní výkon (mil. tkm),""Česko"",""2018"",""Nákladní doprava celkem"",""60327.419"""
"Přepravní výkon (mil. tkm),""Česko"",""2018"",""Železniční doprava"",""16564.19"""
"Přepravní výkon (mil. tkm),""Česko"",""2018"",""Silniční doprava"",""41072.794"""
"Přepravní výkon (mil. tkm),""Česko"",""2018"",""Vnitrozemská vodní doprava"",""553.955"""
"Přepravní výkon (mil. tkm),""Česko"",""2018"",""Letecká doprava"",""29.628"""
"Přepravní výkon (mil. tkm),""Česko"",""2018"",""Potrubní přeprava ropy"",""2106.852"""
"Přepravené věci (tis. tun),""Česko"",""2019"",""Nákladní doprava celkem"",""618818.808"""
"Přepravené věci (tis. tun),""Česko"",""2019"",""Železniční doprava"",""98804.031"""
"Přepravené věci (tis. tun),""Česko"",""2019"",""Silniční doprava"",""504098.967"""
"Přepravené věci (tis. tun),""Česko"",""2019"",""Vnitrozemská vodní doprava"",""1734.961"""
"Přepravené věci (tis. tun),""Česko"",""2019"",""Letecká doprava"",""4.333"""
"Přepravené věci (tis. tun),""Česko"",""2019"",""Potrubní přeprava ropy"",""14176.516"""
"Přepravní výkon (mil. tkm),""Česko"",""2019"",""Nákladní doprava celkem"",""57888.123"""
"Přepravní výkon (mil. tkm),""Česko"",""2019"",""Železniční doprava"",""16179.68"""
"Přepravní výkon (mil. tkm),""Česko"",""2019"",""Silniční doprava"",""39059.32"""
"Přepravní výkon (mil. tkm),""Česko"",""2019"",""Vnitrozemská vodní doprava"",""569.493"""
"Přepravní výkon (mil. tkm),""Česko"",""2019"",""Letecká doprava"",""29.335"""
"Přepravní výkon (mil. tkm),""Česko"",""2019"",""Potrubní přeprava ropy"",""2050.295"""
"Přepravené věci (tis. tun),""Česko"",""2020"",""Nákladní doprava celkem"",""561618.411"""
"Přepravené věci (tis. tun),""Česko"",""2020"",""Železniční doprava"",""90901.552"""
"Přepravené věci (tis. tun),""Česko"",""2020"",""Silniční doprava"",""459703.206"""
"Přepravené věci (tis. tun),""Česko"",""2020"",""Vnitrozemská vodní doprava"",""1383.93"""
"Přepravené věci (tis. tun),""Česko"",""2020"",""Letecká doprava"",""1.007"""
"Přepravené věci (tis. tun),""Česko"",""2020"",""Potrubní přeprava ropy"",""9628.716"""
"Přepravní výkon (mil. tkm),""Česko"",""2020"",""Nákladní doprava celkem"",""73528.912"""
"Přepravní výkon (mil. tkm),""Česko"",""2020"",""Železniční doprava"",""15250.611"""
"Přepravní výkon (mil. tkm),""Česko"",""2020"",""Silniční doprava"",""56089.546"""
"Přepravní výkon (mil. tkm),""Česko"",""2020"",""Vnitrozemská vodní doprava"",""509.019"""
"Přepravní výkon (mil. tkm),""Česko"",""2020"",""Letecká doprava"",""5.626"""
"Přepravní výkon (mil. tkm),""Česko"",""2020"",""Potrubní přeprava ropy"",""1674.11"""
"Přepravené věci (tis. tun),""Česko"",""2021"",""Nákladní doprava celkem"",""611941.424"""
"Přepravené věci (tis. tun),""Česko"",""2021"",""Železniční doprava"",""99550.497"""
"Přepravené věci (tis. tun),""Česko"",""2021"",""Silniční doprava"",""500288.244"""
"Přepravené věci (tis. tun),""Česko"",""2021"",""Vnitrozemská vodní doprava"",""1295.36"""
"Přepravené věci (tis. tun),""Česko"",""2021"",""Letecká doprava"",""0.4"""
"Přepravené věci (tis. tun),""Česko"",""2021"",""Potrubní přeprava ropy"",""10806.923"""
"Přepravní výkon (mil. tkm),""Česko"",""2021"",""Nákladní doprava celkem"",""82492.876"""
"Přepravní výkon (mil. tkm),""Česko"",""2021"",""Železniční doprava"",""16326.011"""
"Přepravní výkon (mil. tkm),""Česko"",""2021"",""Silniční doprava"",""63756.411"""
"Přepravní výkon (mil. tkm),""Česko"",""2021"",""Vnitrozemská vodní doprava"",""516.761"""
"Přepravní výkon (mil. tkm),""Česko"",""2021"",""Letecká doprava"",""1.615"""
"Přepravní výkon (mil. tkm),""Česko"",""2021"",""Potrubní přeprava ropy"",""1892.078"""
"Přepravené věci (tis. tun),""Česko"",""2022"",""Nákladní doprava celkem"",""576900.638"""
"Přepravené věci (tis. tun),""Česko"",""2022"",""Železniční doprava"",""90796.658"""
"Přepravené věci (tis. tun),""Česko"",""2022"",""Silniční doprava"",""473687.896"""
"Přepravené věci (tis. tun),""Česko"",""2022"",""Vnitrozemská vodní doprava"",""1266.235"""
"Přepravené věci (tis. tun),""Česko"",""2022"",""Letecká doprava"",""0.065"""
"Přepravené věci (tis. tun),""Česko"",""2022"",""Potrubní přeprava ropy"",""11149.784"""
"Přepravní výkon (mil. tkm),""Česko"",""2022"",""Nákladní doprava celkem"",""84784.291"""
"Přepravní výkon (mil. tkm),""Česko"",""2022"",""Železniční doprava"",""16367.571"""
"Přepravní výkon (mil. tkm),""Česko"",""2022"",""Silniční doprava"",""65794.464"""
"Přepravní výkon (mil. tkm),""Česko"",""2022"",""Vnitrozemská vodní doprava"",""534.798"""
"Přepravní výkon (mil. tkm),""Česko"",""2022"",""Letecká doprava"",""0.229"""
"Přepravní výkon (mil. tkm),""Česko"",""2022"",""Potrubní přeprava ropy"",""2087.229"""
"Přepravené věci (tis. tun),""Česko"",""2023"",""Nákladní doprava celkem"",""529491.399"""
"Přepravené věci (tis. tun),""Česko"",""2023"",""Železniční doprava"",""83120.028"""
"Přepravené věci (tis. tun),""Česko"",""2023"",""Silniční doprava"",""433684.722"""
"Přepravené věci (tis. tun),""Česko"",""2023"",""Vnitrozemská vodní doprava"",""1220.405"""
"Přepravené věci (tis. tun),""Česko"",""2023"",""Letecká doprava"",""0.041"""
"Přepravené věci (tis. tun),""Česko"",""2023"",""Potrubní přeprava ropy"",""11466.203"""
"Přepravní výkon (mil. tkm),""Česko"",""2023"",""Nákladní doprava celkem"",""82432.859"""
"Přepravní výkon (mil. tkm),""Česko"",""2023"",""Železniční doprava"",""15038.162"""
"Přepravní výkon (mil. tkm),""Česko"",""2023"",""Silniční doprava"",""64805.545"""
"Přepravní výkon (mil. tkm),""Česko"",""2023"",""Vnitrozemská vodní doprava"",""467.283"""
"Přepravní výkon (mil. tkm),""Česko"",""2023"",""Letecká doprava"",""0.103"""
"Přepravní výkon (mil. tkm),""Česko"",""2023"",""Potrubní přeprava ropy"",""2121.766"""
"Přepravené věci (tis. tun),""Česko"",""2024"",""Nákladní doprava celkem"",""535995.427"""
"Přepravené věci (tis. tun),""Česko"",""2024"",""Železniční doprava"",""80407.733"""
"Přepravené věci (tis. tun),""Česko"",""2024"",""Silniční doprava"",""442786.542"""
"Přepravené věci (tis. tun),""Česko"",""2024"",""Vnitrozemská vodní doprava"",""979.57"""
"Přepravené věci (tis. tun),""Česko"",""2024"",""Letecká doprava"",""0.086"""
